LOC,Age,CHG,MAX_CHG,AVG_CHG,Bug Fixed,NAuth,Number of Commit,LOC Added,AVG_LOC Added,MAX_LOC Added,Buggy
0,355,125,125,124,0,0,0,0,38,0.1977716,false
0,355,125,125,124,0,0,0,0,38,0.1977716,false
0,355,125,125,124,0,0,0,0,38,0.1977716,false
0,355,125,125,123,0,0,0,0,38,0.1977716,false
0,355,125,125,123,0,0,0,0,38,0.1977716,false
0,355,125,125,124,0,0,0,0,38,0.1977716,false
0,355,125,125,124,0,0,0,0,38,0.1977716,false
0,355,125,125,123,0,0,0,0,38,0.1977716,false
0,355,125,125,124,0,0,0,0,38,0.1977716,false
0,355,125,125,124,0,0,0,0,38,0.1977716,false
0,355,125,125,123,0,0,0,0,38,0.1977716,false
0,355,125,125,124,0,0,0,0,38,0.1977716,false
0,355,125,125,124,0,0,0,0,38,0.1977716,false
0,355,125,125,124,0,0,0,0,38,0.1977716,false
0,355,125,125,124,0,0,0,0,38,0.1977716,false
0,355,125,125,124,0,0,0,0,38,0.1977716,false
0,355,125,125,124,0,0,0,0,38,0.1977716,false
0,355,125,125,124,0,0,0,0,38,0.1977716,false
0,355,125,125,124,0,0,0,0,38,0.1977716,false
0,355,125,125,124,0,0,0,0,38,0.1977716,false
0,355,1,2,1,0,0,0,0,38,0.1977716,false
0,355,191,191,190,0,0,0,0,38,0.1977716,false
0,355,191,191,190,0,0,0,0,38,0.1977716,false
0,355,191,191,190,0,0,0,0,38,0.1977716,false
0,355,191,191,190,0,0,0,0,38,0.1977716,false
0,355,191,191,189,0,0,0,0,38,0.1977716,false
0,355,191,191,190,0,0,0,0,38,0.1977716,false
0,355,191,191,190,0,0,0,0,38,0.1977716,false
0,355,191,191,190,0,0,0,0,38,0.1977716,false
0,355,191,191,190,0,0,0,0,38,0.1977716,false
0,355,191,191,190,0,0,0,0,38,0.1977716,false
0,355,191,191,190,0,0,0,0,38,0.1977716,false
0,355,191,191,190,0,0,0,0,38,0.1977716,false
0,355,191,191,188,0,0,0,0,38,0.1977716,false
0,355,191,191,190,0,0,0,0,38,0.1977716,false
0,355,191,191,190,0,0,0,0,38,0.1977716,false
0,355,191,191,190,0,0,0,0,38,0.1977716,false
0,355,191,191,190,0,0,0,0,38,0.1977716,false
0,355,191,191,190,0,0,0,0,38,0.1977716,false
0,355,191,191,190,0,0,0,0,38,0.1977716,false
0,355,191,191,190,0,0,0,0,38,0.1977716,false
0,355,191,191,190,0,0,0,0,38,0.1977716,false
0,355,191,191,190,0,0,0,0,38,0.1977716,false
0,355,191,191,190,0,0,0,0,38,0.1977716,false
0,355,191,191,188,0,0,0,0,38,0.1977716,false
0,355,191,191,189,0,0,0,0,38,0.1977716,false
0,355,191,191,187,0,0,0,0,38,0.1977716,false
0,355,191,191,185,0,0,0,0,38,0.1977716,false
0,355,191,191,190,0,0,0,0,38,0.1977716,false
0,355,191,191,190,0,0,0,0,38,0.1977716,false
0,355,191,191,186,0,0,0,0,38,0.1977716,false
0,355,191,191,190,0,0,0,0,38,0.1977716,false
0,355,191,191,186,0,0,0,0,38,0.1977716,false
0,355,191,191,188,0,0,0,0,38,0.1977716,false
0,355,191,191,188,0,0,0,0,38,0.1977716,false
0,355,191,191,189,0,0,0,0,38,0.1977716,false
0,355,191,191,190,0,0,0,0,38,0.1977716,false
0,355,191,191,187,0,0,0,0,38,0.1977716,false
0,355,191,191,190,0,0,0,0,38,0.1977716,false
0,355,191,191,190,0,0,0,0,38,0.1977716,false
0,355,191,191,187,0,0,0,0,38,0.1977716,false
0,355,191,191,190,0,0,0,0,38,0.1977716,false
0,355,191,191,190,0,0,0,0,38,0.1977716,false
0,355,191,191,190,0,0,0,0,38,0.1977716,false
0,355,191,191,190,0,0,0,0,38,0.1977716,false
0,355,191,191,190,0,0,0,0,38,0.1977716,false
0,355,191,191,188,0,0,0,0,38,0.1977716,false
0,355,191,191,190,0,0,0,0,38,0.1977716,false
0,355,191,191,188,0,0,0,0,38,0.1977716,false
0,355,191,191,190,0,0,0,0,38,0.1977716,false
0,355,191,191,190,0,0,0,0,38,0.1977716,false
0,355,191,191,190,0,0,0,0,38,0.1977716,false
0,355,191,191,190,0,0,0,0,38,0.1977716,false
0,355,191,191,190,0,0,0,0,38,0.1977716,false
0,355,191,191,190,0,0,0,0,38,0.1977716,false
0,355,191,191,190,0,0,0,0,38,0.1977716,false
0,355,191,191,190,0,0,0,0,38,0.1977716,false
0,355,191,191,190,0,0,0,0,38,0.1977716,false
0,355,191,191,189,0,0,0,0,38,0.1977716,false
0,355,191,191,190,0,0,0,0,38,0.1977716,false
0,355,191,191,190,0,0,0,0,38,0.1977716,false
0,355,191,191,189,0,0,0,0,38,0.1977716,false
0,355,191,191,190,0,0,0,0,38,0.1977716,false
0,355,191,191,190,0,0,0,0,38,0.1977716,false
0,355,191,191,190,0,0,0,0,38,0.1977716,false
0,355,191,191,190,0,0,0,0,38,0.1977716,false
0,355,191,191,190,0,0,0,0,38,0.1977716,false
0,355,191,191,190,0,0,0,0,38,0.1977716,false
0,355,191,191,190,0,0,0,0,38,0.1977716,false
